,token_idx,token_str,count
0,248, a,19
1,191,,14
2,191,,9
3,17371,utf,100
4,191,,12
5,3184, quality,18
6,2101, though,100
7,310, I,57
8,11865, (',100
9,283,le,21
10,337,ce,100
11,34406,"

",7
12,91,y,8
13,191,,10
14,248, a,9
15,191,,11
16,191,,10
17,8350, coffee,100
18,191,,7
19,191,,10
20,248, a,7
21,254, the,96
22,191,,10
23,191,,19
24,4507, parents,3
25,7828, Cap,87
26,248, a,10
27,5098, safety,100
28,191,,11
29,28,:,100
30,378, B,100
31,561, out,100
32,248, a,12
33,191,,14
34,248, a,7
35,191,,7
36,15,-,100
37,3646, Just,56
38,11811, guest,70
39,2614,www,7
40,191,,11
41,347," """,15
42,191,,9
43,248, a,9
44,26978,取,7
45,43336,ITEM,19
46,191,,6
47,191,,9
48,248, a,7
49,47211, DX,12
50,2292, together,100
51,605,ang,6
52,282, to,100
53,191,,15
54,191,,9
55,2614,www,7
56,5749, symptoms,100
57,5677,bm,13
58,191,,9
59,906, Un,31
60,248, a,13
61,65,_,100
62,34406,"

",8
63,8244, sky,73
64,191,,6
65,34406,"

",10
66,20272, logging,100
67,23277, damaging,32
68,191,,9
69,7292, Open,100
70,191,,11
71,191,,12
72,1034, long,25
73,18,0,100
74,22191,################################,11
75,191,,11
76,14310, temp,100
77,378, B,47
78,191,,10
79,31,=,50
80,2614,www,7
81,191,,6
82,513, do,99
83,3434,list,13
84,248, a,6
85,34406,"

",8
86,191,,10
87,191,,10
88,2614,www,8
89,191,,8
90,2614,www,8
91,282, to,100
92,3746, national,100
93,34406,"

",10
94,433,red,100
95,117,�,10
96,191,,9
97,191,,11
98,375,os,100
99,11140, User,100
100,191,,13
101,248, a,9
102,61,[,100
103,191,,9
104,1800, #,100
105,191,,11
106,191,,8
107,191,,13
108,353, it,38
109,34406,"

",10
110,8870, Software,36
111,34406,"

",12
112,34406,"

",10
113,248, a,6
114,12746, Nick,89
115,191,,8
116,3248, longer,100
117,191,,7
118,191,,9
119,191,,10
120,191,,10
121,191,,12
122,621, app,100
123,191,,8
124,2407,ga,100
125,191,,10
126,191,,7
127,3571, software,100
128,3425, track,100
129,15194,Iter,58
130,2614,www,8
131,1097, mon,100
132,534,"

",9
133,34406,"

",10
134,191,,6
135,191,,8
136,2614,www,8
137,28933, '.,7
138,248, a,9
139,14,",",100
140,191,,8
141,191,,7
142,282, to,53
143,29,;,100
144,28933, '.,7
145,9637,asty,6
146,534,"

",8
147,5982, credit,100
148,5352, approximately,86
149,191,,9
150,248, a,11
151,2614,www,8
152,248, a,11
153,483,out,73
154,191,,9
155,191,,8
156,34406,"

",10
157,2614,www,8
158,191,,11
159,2614,www,9
160,34406,"

",11
161,58,X,5
162,191,,9
163,11169,IVE,79
164,248, a,8
165,2878, block,100
166,5553, storage,100
167,286, and,99
168,34406,"

",15
169,191,,8
170,534,"

",8
171,191,,8
172,2532, Can,69
173,191,,7
174,248, a,12
175,5612, slightly,100
176,2614,www,9
177,7925, …,100
178,191,,8
179,2614,www,8
180,313,am,100
181,14,",",8
182,248, a,9
183,191,,10
184,191,,6
185,576, 4,21
186,191,,7
187,10533,person,13
188,191,,12
189,714, te,100
190,191,,8
191,15,-,100
192,6330,Inter,62
193,324, for,5
194,246,  ,84
195,1745, bi,100
196,248, a,7
197,3017, growth,100
198,4750, enter,100
199,248, a,12
200,248, a,100
201,16,.,100
202,889, use,51
203,191,,11
204,167,�,51
205,6622, mixed,100
206,1246, x,100
207,248, a,100
208,276, in,14
209,2215,         ,6
210,282, to,100
211,6235,First,100
212,353, it,100
213,191,,8
214,191,,10
215,338, 1,100
216,248, a,8
217,191,,10
218,248, a,7
219,5708, healthy,14
220,191,,10
221,5117, Aut,71
222,1356,""":",14
223,34406,"

",10
224,34406,"

",8
225,191,,8
226,248, a,12
227,191,,8
228,248, a,11
229,191,,8
230,36020, crus,97
231,2413, range,100
232,4513, store,100
233,248, a,18
234,191,,7
235,2412," 
",100
236,248, a,9
237,311, is,97
238,191,,10
239,28,:,91
240,191,,12
241,2743, cross,100
242,534,"

",10
243,191,,8
244,248, a,13
245,2421, University,6
246,254, the,24
247,20298, ctx,9
248,191,,10
249,236,�,10
250,191,,12
251,191,,9
252,248, a,14
253,34406,"

",8
254,191,,7
255,65,_,100
256,477,"
   ",100
257,543, [,100
258,2614,www,7
259,18,0,100
260,9935,elihood,9
261,191,,10
262,191,,8
263,191,,9
264,191,,12
265,1336, help,100
266,5899, nuclear,87
267,248, a,9
268,2614,www,8
269,118,�,70
270,311, is,97
271,248, a,12
272,2614,www,8
273,248, a,8
274,191,,8
275,558, +,100
276,191,,9
277,191,,6
278,248, a,6
279,191,,7
280,191,,7
281,191,,10
282,14,",",98
283,191,,6
284,2614,www,8
285,288,ro,100
286,114,�,35
287,191,,7
288,16,.,100
289,16,.,100
290,374, 2,65
291,4828, transform,100
292,191,,10
293,16,.,97
294,191,,10
295,248, a,8
296,191,,8
297,87,u,12
298,4327,ل,26
299,248, a,15
300,43,I,100
301,191,,10
302,8808, sed,8
303,826, This,100
304,248, a,9
305,1521, care,100
306,191,,10
307,191,,12
308,191,,12
309,191,,9
310,16,.,100
311,28933, '.,7
312,5288, wind,100
313,191,,12
314,191,,11
315,191,,7
316,191,,13
317,248, a,8
318,2614,www,8
319,6828, chief,74
320,248, a,10
321,14430, wash,70
322,248, a,7
323,8125, outer,70
324,26,8,31
325,191,,10
326,25669, BU,24
327,53,S,100
328,191,,7
329,191,,11
330,191,,15
331,191,,7
332,5114, client,4
333,191,,12
334,274, of,100
335,191,,13
336,39684, kw,100
337,248, a,14
338,1074, find,100
339,248, a,8
340,191,,12
341,2073, war,100
342,191,,10
343,1194,app,100
344,12132, attributes,6
345,282, to,100
346,3462, products,5
347,248, a,10
348,448, ch,100
349,870,__,100
350,34406,"

",11
351,191,,8
352,2369,AA,100
353,191,,9
354,34406,"

",10
355,34406,"

",10
356,654,ys,100
357,248, a,7
358,4796,Class,11
359,191,,10
360,19789, Need,56
361,4667, passed,100
362,3067,yp,9
363,1678, However,100
364,476, can,69
365,248, a,9
366,191,,9
367,286, and,99
368,191,,6
369,35,A,100
370,248, a,10
371,191,,12
372,347," """,100
373,1544, since,100
374,3610, Russ,11
375,2614,www,8
376,2614,www,9
377,191,,13
378,191,,11
379,248, a,9
380,191,,8
381,191,,13
382,191,,10
383,8049, exceed,86
384,248, a,8
385,191,,8
386,534,"

",9
387,34406,"

",15
388,191,,6
389,534,"

",7
390,34406,"

",7
391,191,,10
392,34840, Á,13
393,248, a,8
394,191,,12
395,3206, National,100
